,A apol,A AMR,A nH,A nC,A nN,A nO,A nS,A MW,A nBondsD,A nBonds,A nBonds2,A Sv,A Sse,A Spe,A Sare,A Sp,A Si,A Mv,A Mse,A Mpe,A Mare,A Mp,A Mi,A ETA_dEpsilon_A,A ETA_dAlpha_B,A ETA_BetaP,A FMF,A fragC,A HOMO,A LOMO,A Bandgap,B apol,B AMR,B nH,B nC,B nN,B nO,B nS,B MW,B nBondsD,B nBonds,B nBonds2,B Sv,B Sse,B Spe,B Sare,B Sp,B Si,B Mv,B Mse,B Mpe,B Mare,B Mp,B Mi,B ETA_dEpsilon_A,B ETA_dAlpha_B,B ETA_BetaP,B FMF,B fragC,B HOMO,B LOMO,B Bandgap,Time (s),Potential (v)
A nBonds2,0.9985060651897653,0.9923008038908633,0.7600375529698129,0.9678650521962471,0.5522896177560754,0.7962875758762081,0.864129017630066,0.9782846006745278,0.9717551608585722,0.9856560432473697,1.0,0.9966825748562708,0.9971428481318775,0.9969243128100846,0.9966636261716476,0.9985553288716509,0.9965570004597571,0.7520732927729931,0.8032429874521412,0.8333564136911392,0.8279633342672712,0.7205358397253072,-0.40973991718405395,0.8393697653462648,-0.06751318784295066,0.5186328408480051,0.3900590517409482,0.9306720440317862,-0.17528555568049767,-0.8785138084301847,-0.796053854458623,-0.08521096938821907,-0.08714926134793535,-0.042041851821238346,-0.08581846888662793,-0.06673248023876556,-0.08703881346595604,-0.07710242170766814,-0.08702987338781223,-0.08563026222715499,-0.08747267400341978,-0.08351343431165033,-0.08628774705364341,-0.08405312284096052,-0.0844701721215316,-0.08448137912301551,-0.08516585366000581,-0.08221872619083723,-0.0904364103468793,-0.08559306985870971,-0.08861817395079204,-0.08781957652866391,-0.0881252683170356,0.07511738612651597,-0.08800125185662651,0.02888526952200518,-0.0766429537722006,-0.05179591574859524,-0.08124940866225132,-0.07922673307598777,0.10441731374719593,0.1297236523760212,5.573118562924155e-19,-0.27236254628319917
A Sv,0.9990788950758089,0.9952030591324542,0.7091943858298102,0.9663571861393829,0.5238739053202248,0.8292390647702503,0.8925329059328206,0.9901383159576126,0.9843220497434547,0.9949348524878178,0.9966825748562708,1.0,0.9958708961839691,0.9964551414024535,0.9962532628492383,0.9991902233623133,0.99055081710386,0.7794876569465778,0.8399296378890451,0.8686108150798654,0.8631678102600124,0.7440440274829565,-0.4379586758958494,0.8752020399230175,-0.05566509485320474,0.5280537645185639,0.39971286890263713,0.9492155929484025,-0.22258276427157775,-0.8976168728314874,-0.798986943843331,-0.08259265241858778,-0.08486046896353462,-0.03595546784489853,-0.08281008971624566,-0.06522717772602425,-0.08818280252192814,-0.07746565158285022,-0.08566243422912614,-0.08463746280105512,-0.08583048200875407,-0.08051492598721273,-0.08397278558298066,-0.08127159291263415,-0.08178463925558961,-0.08180559913415252,-0.0825607655009331,-0.07905699712023664,-0.09348667252179867,-0.0894714716260849,-0.09249191703645745,-0.0917652946063984,-0.09055627484496408,0.07715360069051917,-0.09172835057078778,0.025894366485688353,-0.08065804196512417,-0.05509700886295511,-0.07926903143165813,-0.07697197632181026,0.1071319527705507,0.13172427658767782,-7.538308513268503e-19,-0.27408746776726
A Sse,0.9959588627227474,0.9861500332043136,0.7539037513890426,0.9490208660290199,0.5514864055837592,0.8235637129703768,0.8883726635752867,0.9853446050716022,0.9674338314088665,0.9838688300723177,0.9971428481318775,0.9958708961839691,1.0,0.9999379317330933,0.9999200661042831,0.9965003887360875,0.9978353826206436,0.7244491347553763,0.8240494846513609,0.8458504021123905,0.8434505338029399,0.6857746244587413,-0.36686559036336674,0.8537965457261996,-0.01258459311240899,0.47579101244155475,0.3337161923165046,0.9311875753468389,-0.20135665141720901,-0.8692985620143239,-0.7784762614149489,-0.08371385908479784,-0.08569933378987728,-0.03992806309607995,-0.08347988637340858,-0.06724520509239683,-0.08723842723232134,-0.07809750096143256,-0.08618457059811535,-0.08488416663667862,-0.08605021246648935,-0.0817691105906497,-0.08486977691077158,-0.08264162605423682,-0.08308382899740305,-0.0831037047423833,-0.08369602733140921,-0.08069803677399072,-0.08824317753432248,-0.0863143356192638,-0.08875529331565872,-0.08814813957051416,-0.08586987797749866,0.07071551390541785,-0.08849548162601036,0.026585050087554428,-0.07488677021691313,-0.04697069792647878,-0.08066061382334154,-0.07715271735618263,0.10220079512966215,0.12684522150032976,-5.509816754129673e-19,-0.28829447240766737
A Spe,0.9961228034717088,0.9865488461327832,0.7467545356034954,0.9489156064327171,0.5496959004977084,0.8276101155123748,0.891560049322026,0.9870326207262744,0.9690307141047321,0.9854668704399567,0.9969243128100846,0.9964551414024535,0.9999379317330933,1.0,0.9999933824516727,0.9966722809456074,0.9971722005394865,0.7287825966825835,0.8291599695706262,0.8510395125314412,0.8486499028290894,0.6892941056698235,-0.3703001600859106,0.8588133225428963,-0.009131504157224532,0.4783263690195818,0.336761948707062,0.9341792296063628,-0.20481664171745131,-0.872757692119961,-0.78069497441618,-0.0833527683763611,-0.0853595300385916,-0.03906090886200478,-0.0830658010067715,-0.06697357217467105,-0.08745631471670073,-0.0781587073612052,-0.08600613294104621,-0.0847206752133764,-0.08584851786758946,-0.0813685249984225,-0.08455400575024365,-0.08225983257550543,-0.08271591238466741,-0.0827372986102942,-0.08333673553617588,-0.0802595955185629,-0.08865610097030477,-0.08693631611722238,-0.08935954124148594,-0.0887698164287678,-0.08615630515818125,0.07099205286687038,-0.08905050017335095,0.02584327880282873,-0.07513262632102662,-0.047501810203843156,-0.08047507080660306,-0.07678689946351325,0.10257569117683879,0.12710420247154172,0.0,-0.2888450303436376
A Sare,0.9958198388128056,0.9860314704231756,0.74627745494476,0.9478198006557316,0.5500306759809038,0.8287236637631024,0.892374787327134,0.9872056520404386,0.9685332486914262,0.9852823631279093,0.9966636261716476,0.9962532628492383,0.9999200661042831,0.9999933824516727,1.0,0.9963934210095003,0.9970877778620677,0.727425792188404,0.8300847845874438,0.8516167817098906,0.8493832212662313,0.6874877691835314,-0.3680167143323312,0.8593978257935662,-0.00576634741281053,0.47634641421327434,0.33440756592345666,0.9341619753641753,-0.20516693991532314,-0.8723573576845373,-0.7801899953714906,-0.08326648799341395,-0.08526435860125184,-0.03896967162077783,-0.08293465599463305,-0.0669589097274462,-0.08747107204812817,-0.07819436190995993,-0.08595133522352284,-0.08465127024546168,-0.08576814513543318,-0.08127758176909261,-0.08447142977976567,-0.08218235525249606,-0.08263922926332129,-0.082661152270048,-0.08325191179971604,-0.08017747475102081,-0.08849354824889316,-0.086965233666361,-0.08934897653824816,-0.08877226643865543,-0.08597815665544725,0.07072629053553872,-0.08904884264856659,0.02560578530709857,-0.0748847670454153,-0.04724202848215705,-0.08045233341093896,-0.07661480408042652,0.10241858108620759,0.1268921981517271,-5.4912351652731795e-19,-0.2896225112059972
A Sp,0.9999748533503189,0.9961857876205202,0.7337616677873771,0.970093228301412,0.5359660055714143,0.8105434941043107,0.8795993640305304,0.9845199332490308,0.9821082744961732,0.9907705181291985,0.9985553288716509,0.9991902233623133,0.9965003887360875,0.9966722809456074,0.9963934210095003,1.0,0.9935205721598145,0.7695579972366926,0.819796146514273,0.8497311149846875,0.8438079810979532,0.7384176758733471,-0.43045959331832795,0.8569792679614214,-0.07736333070742667,0.5297125659881136,0.3975909194914821,0.9402334745739482,-0.20782082450643996,-0.8880773805963319,-0.7945940611639056,-0.08407126673367096,-0.08639985215773079,-0.03814196812775923,-0.08470522917691192,-0.06641652237829646,-0.08754668745272469,-0.07745947034574545,-0.08657712060462824,-0.08580171920791159,-0.08695437871558707,-0.08203259299495856,-0.085328343475171,-0.08265852995609133,-0.08314323929171753,-0.08315549307201048,-0.0840256515304209,-0.08057863494168829,-0.09387341022448344,-0.08812834323253677,-0.09145240620346548,-0.09059552345018672,-0.09141224203875782,0.07826900984338174,-0.09081076709817157,0.029617368883775672,-0.08210266134170834,-0.05535204409171643,-0.08037472179799977,-0.07956699953376621,0.10730714922468582,0.13272483315228284,-7.568660728844979e-19,-0.27217835621974884
A Si,0.9930428751398873,0.982170222465832,0.7920805678504744,0.9483123115021664,0.5879797991990205,0.7872127351086751,0.8600119138306483,0.9724048112533122,0.9583857053222832,0.9732616480656754,0.9965570004597571,0.99055081710386,0.9978353826206436,0.9971722005394865,0.9970877778620677,0.9935205721598145,1.0,0.7018422859283051,0.787697923048808,0.812325848661842,0.8097826352998525,0.6677899748501024,-0.33864036500963374,0.8204576647884623,-0.02773227381273665,0.48037886580991723,0.32824310563790704,0.9115845927011402,-0.15478375430576014,-0.8555081126408492,-0.7804681118233244,-0.08486537440168677,-0.08679182504958542,-0.04238151742489273,-0.08519650331561092,-0.06870577878922221,-0.08537115976599317,-0.07720121271461755,-0.08655772734256088,-0.08556245033004843,-0.08675869544740353,-0.08301619007773935,-0.08585232595788292,-0.08367566406914706,-0.08407876764509985,-0.08408709844758323,-0.08482917559599507,-0.08193714300196056,-0.087614066534564,-0.08377571082425253,-0.0865857066954812,-0.08585813681810421,-0.08569769634948605,0.07068404338118305,-0.08641465082919993,0.02936393509713605,-0.07486585514553411,-0.04649962610782943,-0.08197070942838364,-0.08230160293205752,0.10156661105997722,0.12784759711600802,1.2853485227527372e-18,-0.2901769049818178
A Mv,0.7725523333130391,0.8100920895460456,0.2665829696153713,0.8496941569604302,0.2101987768160836,0.6510206146384873,0.6667492132436783,0.7697834884819817,0.83932552705934,0.8204962387081508,0.7520732927729931,0.7794876569465778,0.7244491347553763,0.7287825966825835,0.727425792188404,0.7695579972366926,0.7018422859283051,1.0,0.7523062365183645,0.82858883212369,0.8026903950739401,0.9888630880988397,-0.8490859648222073,0.8175003305797679,-0.31839456607531985,0.8063842542133107,0.8278706783344414,0.784717324916167,-0.21663075107002153,-0.8922012930768805,-0.7956902551382194,-0.03251742671563882,-0.03448928150534869,-0.002346667760071587,-0.035450219153512895,-0.009062477223527963,-0.049217444574888386,-0.02805994998464777,-0.036172566997767865,-0.03454777989273788,-0.03793883843253085,-0.031930630746842784,-0.0343024027136066,-0.031773883096295356,-0.03225611914888789,-0.03229506860950706,-0.03241408561067293,-0.02958744879615165,-0.07567966181605684,-0.06337857735611631,-0.06796647535944214,-0.06713222879757681,-0.06891032392778774,0.07730643985619416,-0.0635752580894472,-0.003702036867343421,-0.06544523309925837,-0.07663073917968026,-0.022361071308927807,-0.05579329377700172,0.08593892409043487,0.1037737410094608,0.0,-0.08793948841626048
A Mse,0.8181075591386453,0.8161276796406007,0.29656314200213,0.7381880854346277,0.20814781488189674,0.9690442041461875,0.954037775727067,0.9009296356147601,0.8408508920185852,0.8732459744949603,0.8032429874521412,0.8399296378890451,0.8240494846513609,0.8291599695706262,0.8300847845874438,0.819796146514273,0.787697923048808,0.7523062365183645,1.0,0.9905639675917641,0.9943797887071301,0.6668346011830466,-0.4550817829757062,0.992405172619847,0.23532882525007776,0.33636486050032555,0.29092766531062275,0.8865482282619109,-0.5049274079221084,-0.8117403988440224,-0.6221595526086658,-0.04184335123422507,-0.04404186589038162,-0.004851270467776928,-0.03631834579641028,-0.026573071063022282,-0.07089192043271134,-0.0574670792929773,-0.05008832392110304,-0.04718221166257343,-0.046393702015505994,-0.03958173686196816,-0.04391491973245944,-0.04235494997971141,-0.042927645716230645,-0.04304037447361886,-0.04200688258654095,-0.039409599081392035,-0.06191834743871818,-0.08076587802716047,-0.07835880534265154,-0.07920982173841776,-0.05609337107926911,0.04417932451197905,-0.07780892798118343,-0.01008991632263115,-0.04590396119955549,-0.029547707442750204,-0.037162711068747946,-0.012051034283627781,0.07034427109117887,0.07425287774423382,0.0,-0.2288304879902294
A Mpe,0.8487872537037395,0.852933713516512,0.3154861852933956,0.7927437111600519,0.26063462400325443,0.9391724834195158,0.9324114927057141,0.916917339413695,0.8798463302435872,0.9039569387332548,0.8333564136911392,0.8686108150798654,0.8458504021123905,0.8510395125314412,0.8516167817098906,0.8497311149846875,0.812325848661842,0.82858883212369,0.9905639675917641,1.0,0.9989478273230732,0.7516524672843121,-0.5259987703512593,0.9984783256945767,0.16051204791453838,0.45604285533086514,0.4100711130998136,0.9045180100940233,-0.43090095131581324,-0.8725936241222082,-0.7057891925840947,-0.04098618828355868,-0.043159837004240524,-0.0028946114973683306,-0.03690484202944157,-0.024849200753204275,-0.06895650274683801,-0.05375330570388044,-0.04888730081599093,-0.046324460274867786,-0.046190469698022575,-0.03888562819883145,-0.04314521576281927,-0.041155652331781055,-0.04176044388943307,-0.0418631210088707,-0.04110394528372299,-0.03817412240593155,-0.06738383793011121,-0.08133829070357668,-0.08024295641865674,-0.08086360834203642,-0.06080499410781723,0.051735299921726055,-0.07878741658576671,-0.012286511713590085,-0.05072389072861303,-0.04037872292861259,-0.036333012206792886,-0.024201892232161584,0.07675530722792469,0.08453464297327018,0.0,-0.2224610160396867
